" " "Código [-]" "Gentílico [-]" "Prefeito [2017]" "Área Territorial - km² [2018]" "População estimada - pessoas [2019]" "Densidade demográfica - hab/km² [2010]" "Escolarização <span>6 a 14 anos</span> - % [2010]" "IDHM <span>Índice de desenvolvimento humano municipal</span> [2010]" "Mortalidade infantil - óbitos por mil nascidos vivos [2017]" "Receitas realizadas - R$ (×1000) [2017]" "Despesas empenhadas - R$ (×1000) [2017]" "PIB per capita - R$ [2017]"
"Álvares Machado" 3501301 machadense "JOSÉ CARLOS CABRERA PARRA" 347,647 24915 67,69 98,3 0,758 18,13 62881,3731 60296,9844 20531,41
"Álvaro de Carvalho" 3501400 carvalhense "CÍCERO MARTINS DOS SANTOS" 153,662 5227 30,36 99,2 0,688 17,54 17943,08204 16441,13972 9666,54
Alvinlândia 3501509 alvinlandense "ABIGAIL CATELI DIAS" 84,879 3222 35,38 99,3 0,722 21,74 15306,4017 12940,54398 19966,95
Americana 3501608 americanense "OMAR NAJAR" 133,912 239597 1572,75 98 0,811 7,47 774032,5912 709743,8111 44396,3
"Américo Brasiliense" 3501707 américo-brasiliense "DIRCEU BRAS PANO" 122,785 40504 280,91 98,6 0,751 16 99791,19948 100799,16438 24197,1
"Américo de Campos" 3501806 americampense "CARLOS ROBERTO ACHILLES" 252,876 5969 22,54 98,2 0,745 19,61 23218,51517 21406,83023 17546
Amparo 3501905 amparense "LUIZ OSCAR VITALE JACOB" 445,323 72195 147,75 95,7 0,785 5,65 262299,66169 240727,95422 61227,8
Analândia 3502002 analandense "JAIRO APARECIDO MASCIA" 325,953 4995 13,18 99,7 0,754 21,28 31224,86385 30967,5513 32880,3
Andradina 3502101 andradinense "TAMIKO INOUE" 964,226 57157 57,39 98,2 0,779 13,35 166955,27105 147353,21707 34385,26
Angatuba 3502200 angatubense "LUIZ ANTONIO MACHADO" 1027,288 25228 21,61 98,3 0,719 6,31 82169,30165 66306,15913 39106,98
Anhembi 3502309 anhembiense "MIGUEL VIEIRA MACHADO NETO" 736,557 6724 7,67 97,2 0,721 14,08 31346,97388 29907,98478 23820,1
Anhumas 3502408 anhumense "GENILDO RAMINELI" 320,84 4115 11,66 98,3 0,741 33,33 19928,85581 17614,83672 20587,87
Aparecida 3502507 aparecidense "ERNALDO CESAR MARCONDES" 121,076 36157 289,13 98,4 0,755 6,25 111612,76459 98271,14272 28905,59
"Aparecida d'Oeste" 3502606 aparecidense "MAERCIO DIAS DE MENEZES" 179,004 4196 24,86 97,7 0,721 21,74 19560,67564 17744,29241 28982,31
Apiaí 3502705 apiaiense "LUCIANO POLACZEK NETO" 974,322 24374 25,85 97,3 0,71 16,67 71090,28962 65066,6608 26126,82
Araçariguama 3502754 araçariguamense "LILIANA MEDEIROS DE ALMEIDA AYMAR BECHAR" 145,204 22364 117,63 98,2 0,704 12,01 109901,4892 98903,72356 135194,59
Araçatuba 3502804 araçatubense "DILADOR BORGES DAMASCENO" 1167,126 197016 155,54 97,6 0,788 11,02 524096,05565 489799,65507 35769,43
"Araçoiaba da Serra" 3502903 araçoiabano "DIRLEI SALAS ORTEGA" 255,327 34146 106,88 99,4 0,776 7,23 137563,59258 82577,97635 20558,05
Aramina 3503000 araminense "DALVA APARECIDA PIERAZO RODRIGUES" 202,829 5620 25,39 98,7 0,74 14,49 23826,00133 21844,4276 23120,43
Arandu 3503109 aranduense "LUIZ CARLOS DA COSTA" 285,908 6357 21,42 98,4 0,685 30,93 30445,16322 30414,49906 18718,3
Arapeí 3503158 arapeiense "EDSON ANDRE DE SOUZA" 156,903 2469 15,89 98,7 0,68 71,43 15297,20594 12647,83575 11594,42
Araraquara 3503208 araraquarense "EDSON ANTONIO EDINHO DA SILVA" 1003,625 236072 207,9 98,7 0,815 10,46 813194,67742 797613,15061 39039,34
Araras 3503307 ararense "RUBENS FRANCO JUNIOR" 644,831 134236 184,3 97,5 0,781 12,11 543415,814 472762,51826 40249,39
Arco-Íris 3503356 arcoirense "ANA MARIA ZONER LEAL SERAFIM" 264,904 1791 7,27 99,1 0,722 33,33 14876,26005 12391,60573 25729,5
Arealva 3503406 arealvense "ELSON BANUTH BARRETO" 504,973 8560 15,53 99,6 0,744 21,05 28042,66791 23704,69254 25252,59
Areias 3503505 areiense "PAULO HENRIQUE DE SOUZA COUTINHO" 305,227 3886 12,11 96,8 0,697 21,28 17339,9579 15918,97697 11088,39
Areiópolis 3503604 areiopolitano "ANTONIO MARCOS DOS SANTOS" 85,907 11129 123,35 97,3 0,695 22,9 31683,03985 27659,50588 12135,07
Ariranha 3503703 ariranhense "JOAMIR ROBERTO BARBOZA" 132,624 9668 64,19 99,6 0,733 25 46471,2831 39791,84863 76260,53
"Artur Nogueira" 3503802 nogueirense "IVAN CLEBER VICENSOTTI" 178,026 54408 248,15 98,3 0,749 7,36 151691,3716 141937,105 20795,4
Arujá 3503901 arujaense "JOSE LUIZ MONTEIRO" 96,167 89824 779,33 98,2 0,784 16,32 285278,24609 247386,93664 61458,72
Aspásia 3503950 aspasiense "JOSUÉ EDUARDO DE ASSUNÇÃO" 69,373 1822 26,09 97,1 0,735 - 15746,94939 13472,52382 18013,72
Assis 3504008 assisense "JOSÉ APARECIDO FERNANDES" 460,609 104386 206,7 98,9 0,805 7,69 354752,02841 288566,58779 32100,85
Atibaia 3504107 atibaiano "SAULO PEDROSO DE SOUZA" 478,521 142761 264,57 97,3 0,765 11,07 489342,76239 465279,38024 44119,9
Auriflama 3504206 auriflamense "OTAVIO HENRIQUE ORTUNHO WEDEKIN" 434,498 15189 32,72 98,8 0,773 5,85 43953,08385 39070,89907 19494,28
Avaí 3504305 avaiense "ANDRÉ LUIS DA SILVEIRA ANTONIO" 540,689 5403 9,18 99,4 0,714 14,08 20941,63736 18277,667 49447,56
Avanhandava 3504404 avanhandavense "CIRO AUGUSTO MOURA VENERONI" 338,37 13649 33,4 97,2 0,705 6,37 47969,29454 41722,29587 32647,32
Avaré 3504503 avareense "JOSELYR BENEDITO COSTA SILVESTRE" 1213,055 90655 68,37 97,9 0,767 11,49 312718,50318 278557,38041 29292,24
"Bady Bassitt" 3504602 badiense "LUIZ ANTONIO TOBARDINI" 110,372 17502 132,32 98,5 0,746 4,65 63869,75059 55030,85403 18921,96
Balbinos 3504701 balbinense "BENEDITO JACKSON BALANCIERI" 91,635 5735 40,4 98,9 0,669 55,56 15169,28571 14052,14424 10484,51
Bálsamo 3504800 balsamense "CARLOS EDUARDO CARMONA LOURENÇO" 149,881 9068 54,18 99 0,756 11,76 24569,88605 22761,47872 22823,09
Bananal 3504909 bananalense "CARLINDO NOGUEIRA RODRIGUES" 616,429 10945 16,58 97,1 0,733 21,28 34981,6939 31691,34202 18607,15
"Barão de Antonina" 3505005 barãoense "MARIA ROSA BUENO DE MEIRA" 153,142 3469 20,35 100 0,711 17,54 16391,90513 14126,96188 23385,88
Barbosa 3505104 barbosano "PAULO CÉSAR BALIEIRO" 205,212 7402 32,14 98,4 0,699 11,36 23186,35882 20061,11119 12333,85
Bariri 3505203 baririense "FRANCISCO LEONI NETO" 444,405 35264 71,14 96,3 0,75 9,98 103011,58401 92915,84917 33129,26
"Barra Bonita" 3505302 barra-bonitense "JOSÉ LUIS RICI" 150,121 36126 235,12 99,8 0,788 13,42 115636,20768 103440,0716 38198,66
"Barra do Chapéu" 3505351 barrense "JANETE SARTI DO AMARAL" 405,681 5724 12,93 96,9 0,66 27,78 15358,93517 16455,13088 14427,42
"Barra do Turvo" 3505401 barra-turvense "JEFFERSON LUIZ MARTINS" 1007,684 7659 7,67 95,6 0,641 12,05 35549,80915 32005,27199 10060,79
Barretos 3505500 barretense "GUILHERME HENRIQUE DE ÁVILA" 1566,161 122098 71,6 97,8 0,789 14,57 526127,69013 543578,56644 36834,01
Barrinha 3505609 barrinhense "MITUO TAKAHASI" 146,025 32812 195,66 97,5 0,725 8,51 81349,19113 72594,76774 14691,77
Barueri 3505708 barueriense "RUBENS FURLAN" 65,701 274182 3665,21 97,8 0,786 8,47 2741826,70456 2450130,78723 177747,83
Bastos 3505807 bastense "MANOEL IRONIDES ROSA" 170,912 20953 118,95 98,5 0,751 10,34 59380,25797 50419,74043 49737,57
Batatais 3505906 batataense "JOSE LUIS ROMAGNOLI" 849,526 62508 66,48 97,7 0,761 14,75 174113,85633 157203,01525 24063,75
Bauru 3506003 bauruense "CLODOALDO ARMANDO GAZZETTA" 667,684 376818 515,12 96,9 0,801 12,98 1302951,88209 1172323,48483 37051,72
Bebedouro 3506102 bebedourense "FERNANDO GALVÃO MOURA" 683,192 77496 109,81 98,5 0,78 9,88 218201,19978 262944,13955 41929,78
"Bento de Abreu" 3506201 bento-abreuense "GENIVAL PRATES ALVES" 301,687 2980 8,87 97,9 0,744 32,26 18357,07305 16170,83182 58041,53
"Bernardino de Campos" 3506300 bernardinense "ODILON RODRIGUES MARTINS" 244,158 11148 44,12 98,3 0,734 20,27 32647,22923 29495,33563 21168,91
Bertioga 3506359 bertioguense "CAIO ARIAS MATHEUS" 491,546 63249 97,21 98,1 0,73 16,27 429374,28458 349538,46811 27093,33
Bilac 3506409 bilaquense "VITOR OSMAR BOTINI" 158,025 8034 44,63 99 0,768 26,67 29925,48339 25293,08059 23593,57
Birigui 3506508 biriguiense "CRISTIANO SALMEIRÃO" 530,031 123638 204,79 98 0,78 14,67 363952,17165 350718,05117 26071,64
"Biritiba Mirim" 3506607 biritibano "JARBAS EZEQUIEL DE AGUIAR" 317,406 32598 90,03 97,7 0,712 15,23 68006,67889 64012,43166 22162,33
"Boa Esperança do Sul" 3506706 boa-esperancense "FABIO LUIS DE SOUZA" 690,748 14923 19,75 96 0,681 17,65 51604,80184 40190,62552 24812,08
Bocaina 3506805 bocainense "MARCO ANTONIO GIRO" 363,926 12329 29,84 99,3 0,742 32 37931,81899 37442,81588 18705,27
Bofete 3506904 bofetense "DIRCEO ANTONIO LEME DE MELO" 653,541 11730 14,72 95,1 0,705 8,06 38598,94168 32955,07294 14637,88
Boituva 3507001 boituvense "FERNANDO LOPES DA SILVA" 248,954 60997 194,07 98,7 0,78 11,1 198057,02674 190516,18094 46569,95
"Bom Jesus dos Perdões" 3507100 perdoense "SERGIO FERREIRA" 108,366 25448 181,87 97,7 0,713 12,16 82258,02662 67840,87637 35962,34
"Bom Sucesso de Itararé" 3507159 "bom sucessiense" "LUIZ HUMBERTO CAMPOS" 133,578 3954 26,73 98,3 0,66 14,29 16854,96935 14893,40022 13624,33
Borá 3507209 boraense "WILSON FERREIRA COSTA" 118,951 837 6,8 94,6 0,746 - 12701,99598 9773,39024 88396,67
Boracéia 3507308 boraceense "MARCOS VINICIO BILANCIERI" 122,11 4823 34,95 99,3 0,754 18,18 24639,33308 22244,8319 59192,14
Borborema 3507407 borboremense "VLADIMIR ANTONIO ADABO" 552,256 16046 26,31 98,3 0,73 13,25 47433,25277 41630,90222 25908,07
Borebi 3507456 borebiense "ANTONIO CARLOS VACA" 347,989 2653 6,59 99,5 0,705 55,56 18631,30925 15685,80692 24244,96
Botucatu 3507506 botucatuense "MARIO EDUARDO PARDINI AFFONSECA" 1482,642 146497 85,88 97,8 0,8 13,99 401443,76209 348097,99717 30100,24
"Bragança Paulista" 3507605 bragantino "JESUS ADIB ABI CHEDID" 512,584 168668 286,26 97 0,776 8,54 474355,06722 419569,18644 34553,72
Braúna 3507704 braunense "FLAVIO ADALBERTO RAMOS GIUSSANI" 195,176 5686 25,7 98,6 0,737 15,63 20303,16854 17049,80737 17011,09
"Brejo Alegre" 3507753 brejoalegrense "ADRIANO MARCELO BONILHA" 105,689 2865 24,41 95,9 0,71 28,57 20227,97667 17945,73318 68785,63
Brodowski 3507803 brodosquiano "JOSE LUIZ PEREZ" 278,458 24939 75,8 97,5 0,755 9,09 78111,5528 68887,22289 26538,75
Brotas 3507902 brotense "LEANDRO CORRÊA" 1101,374 24403 19,59 99,1 0,74 7,33 94406,93639 80495,01377 33700,04
Buri 3508009 buriense "OMAR YAHYA CHAIN" 1195,91 19878 15,52 98,5 0,667 13,16 74241,65561 61416,11714 18670,83
Buritama 3508108 buritamense "RODRIGO ZACARIAS DOS SANTOS" 326,921 17144 47,19 96,7 0,763 5,59 78465,55996 60923,04761 35870,84
Buritizal 3508207 buritinense "AGLIBERTO GONÇALVES" 266,42 4481 15,21 99,4 0,735 55,56 26483,07913 22451,55903 40391,93
"Cabrália Paulista" 3508306 cabraliense "JOSÉ MADRIGAL RUDA FILHO" 239,974 4264 18,19 97,5 0,694 38,46 19157,79667 15972,61734 19410,62
Cabreúva 3508405 cabreuvano "HENRIQUE MARTIN" 260,234 49707 159,87 97,3 0,738 16,62 206809,22618 192730,91119 89694,92
Caçapava 3508504 caçapavense "FERNANDO CID DINIZ BORGES" 368,99 94263 229,66 98 0,788 9,5 245450,23084 222305,83405 44013,99
"Cachoeira Paulista" 3508603 cachoeirense "EDSON MENDES MOTA" 287,99 33327 104,49 98 0,764 17,33 88016,7067 78329,61452 18044,77
Caconde 3508702 cacondense "JOSÉ BENTO FELIZARDO FILHO" 468,214 18985 39,44 97,7 0,72 14,15 52754,87491 48676,07968 18060,11
Cafelândia 3508801 cafelandense "LUIS ZAMPIERI RIBEIRO PAULIQUEVIS" 920,28 17767 18,05 96,7 0,742 8,89 62054,66542 58718,12186 26542,48
Caiabu 3508900 caiabuense "DARIO MARQUES PINHEIRO" 253,352 4191 16,11 98,9 0,729 20,83 17842,45456 15597,89667 14390,13
Caieiras 3509007 caieirense "GERSON MOREIRA ROMERO" 97,642 101470 900,37 94,8 0,781 7,54 290687,07539 237564,95633 33491,19
Caiuá 3509106 caiuense "RUTE ALMEIDA DOS SANTOS LIMA" 551,159 5874 9,16 99,3 0,697 46,51 30250,15624 26171,0968 13633,51
Cajamar 3509205 cajamarense "DANILO BARBOSA MACHADO" 131,386 76801 488,18 96,5 0,728 13,52 447553,50022 386498,4297 202962,5
Cajati 3509254 cajatiense "LUCIVAL JOSÉ CORDEIRO" 454,436 28549 62,43 98,4 0,694 10,06 101869,79444 84204,3461 54220,11
Cajobi 3509304 cajobiense "GUSTAVO SEBASTIÃO DA COSTA" 176,929 10542 55,22 99,7 0,734 10,42 32487,39429 30216,52334 14620,34
Cajuru 3509403 cajuruense "JOÃO BATISTA RUGGERI RÉ" 660,088 26167 35,41 97,1 0,713 11,73 67029,45859 59784,761 22413,69
"Campina do Monte Alegre" 3509452 campinomontealegrense "GIL VICENTE DE OLIVEIRA JUNIOR" 185,031 6024 30,09 97,5 0,717 26,67 22714,434 19475,58047 17775,98
Campinas 3509502 campineiro "JONAS DONIZETTE FERREIRA" 794,571 1204073 1359,6 96 0,805 8,88 4614990,76219 4719975,68304 49942,59
"Campo Limpo Paulista" 3509601 campo-limpense "ROBERTO ANTONIO JAPIM DE ANDRADE" 79,403 84650 932,92 96,7 0,769 11,35 189590,27143 163427,27489 23293,67
"Campos do Jordão" 3509700 jordanense "FREDERICO GUIDONI SCARANELLO" 290,52 52088 164,76 97,1 0,749 7,82 196829,83668 180378,79266 23235,33
"Campos Novos Paulista" 3509809 campos-novense "JÚLIO CÉSAR DO CARMO" 484,199 4965 9,38 97,9 0,706 25,97 21740,4125 19664,72806 25782,07
Cananéia 3509908 cananeiense "GABRIEL DOS SANTOS OLIVEIRA ROSA" 1237,354 12540 9,86 97,3 0,72 10,53 53312,48738 47260,34112 20522,82
Canas 3509957 canense "LUCEMIR DO AMARAL" 53,261 5138 82,33 98,3 0,704 47,06 22047,3792 20464,71278 51603,95
"Cândido Mota" 3510005 cândido-motense "CARLOS ROBERTO BUENO" 595,811 31280 50,12 98,2 0,747 14,84 119067,47623 91800,50762 32167,96
"Cândido Rodrigues" 3510104 cândido-rodriguense "ANTONIO CLAUDIO FALCHI" 70,892 2793 37,94 99 0,789 47,62 18557,95683 14177,40555 41307,08
Canitar 3510153 canitarense "ANIBAL FELICIANO" 57,459 5216 76,34 96,1 0,68 28,57 19723,73873 17007,02541 38697,82
"Capão Bonito" 3510203 capão-bonitense "MARCO ANTONIO CITADINI" 1640,23 47138 28,15 98,7 0,721 8,97 135940,40296 122482,96613 17158,94
"Capela do Alto" 3510302 capelense "PERICLES GONÇALVES" 169,89 20706 103,2 96,5 0,699 14,04 59751,63173 51831,96495 14285,4
Capivari 3510401 capivariano "RODRIGO ABDALA PROENÇA" 322,878 55768 150,45 97,3 0,75 16,13 211476,50331 192162,05772 34575,39
Caraguatatuba 3510500 caraguatatubense "JOSE PEREIRA DE AGUILAR JUNIOR" 484,947 121532 207,88 97,7 0,759 13,09 671648,92887 595360,9078 25073,95
Carapicuíba 3510609 carapicuibano "MARCO AURELIO DOS SANTOS NEVES" 34,546 400927 10698,32 96,2 0,749 10,77 441907,33186 416067,26676 13854,1
Cardoso 3510708 cardosense "JAIR CESAR NATTES" 639,248 12326 18,45 96,8 0,722 14,29 46308,23775 40320,40495 21054,28
"Casa Branca" 3510807 casa-branquense "MARCO CESAR DE PAIVA AGA" 864,225 30380 32,76 96,9 0,73 6,33 97518,96221 92693,25741 26596,41
"Cássia dos Coqueiros" 3510906 cassiano "DILMA CUNHA DA SILVA" 191,683 2523 13,74 99,5 0,734 47,62 15898,76893 12999,7879 53975,74
Castilho 3511003 castilhense "APARECIDA DE FATIMA GAVIOLI NASCIMENTO" 1065,318 21006 16,89 99,1 0,731 24,39 87054,28444 77169,98419 49166,56
Catanduva 3511102 catanduvense "AFONSO MACCHIONE NETO" 290,596 121862 388,24 98,1 0,785 8,14 461372,42056 403700,92796 32932,52
Catiguá 3511201 catigüense "VERA LUCIA DE AZEVEDO VALLEJO" 148,393 7804 48,03 98,4 0,751 10,75 21266,27659 19437,58657 15366,45
Cedral 3511300 cedralense "PAULO RICARDO BEOLCHI DE LUCAS" 197,838 9237 40,33 98,7 0,766 19,61 37763,92539 30960,82651 34862,28
"Cerqueira César" 3511409 cerqueirense "MARCOS ANTONIO ZALOTI" 511,621 19985 34,27 98,2 0,729 4,1 75974,89702 64272,7041 38625,59
Cerquilho 3511508 cerquilhense "ALDOMIR JOSÉ SANSON" 127,803 48949 309,98 99,6 0,782 5,96 165449,81452 138709,53714 37302,48
"Cesário Lange" 3511607 cesariano-lange "RONALDO PAIS DE CAMARGO" 190,392 18148 81,46 96,3 0,706 21,28 56792,8307 53413,86635 23835,12
Charqueada 3511706 charqueadense "ROMEU ANTONIO VERDI" 175,846 17190 85,79 97,9 0,736 19,42 44565,50282 38588,50552 20922,56
Clementina 3511904 clementinense "CÉLIA CONCEIÇÃO FREITAS GALHARDO" 168,59 8617 41,85 98 0,725 8,55 28839,28053 25236,84461 29700,4
Colina 3512001 colinense "DIAB TAHA" 422,303 18468 41,11 98,4 0,757 8,1 80672,11148 69472,46161 51642,33
Colômbia 3512100 colombiense "ENDRIGO LUCAS GAMBARATO BERTIN" 728,648 6210 8,22 99,2 0,71 11,76 43935,22451 38618,76712 57545,34
Conchal 3512209 conchalense "LUIZ VANDERLEI MAGNUSSON" 182,793 28050 138,02 96,7 0,708 12,2 100960,50997 86413,17651 23809
Conchas 3512308 conchense "ODIRLEI REIS" 466,12 17896 34,95 97,6 0,736 9,62 54724,10202 50645,58986 19518,27
Cordeirópolis 3512407 cordeiropolense "JOSE ADINAN ORTOLAN" 137,579 24528 153,22 96,7 0,758 3,55 142098,6848 121672,31628 109697,7
Coroados 3512506 coroadense "TEREZINHA APARECIDA CASTILHO VARONI" 246,825 6058 21,26 98,3 0,719 13,89 20830,3842 18406,57198 27503,97
"Coronel Macedo" 3512605 macedense "JOSE ROBERTO SANTINONI VEIGA" 303,83 4681 16,45 99,1 0,69 18,52 22729,31678 18982,06845 16545,85
Corumbataí 3512704 corumbataiense "LEANDRO MARTINEZ" 278,622 4055 13,9 97 0,754 18,87 25285,25506 23448,37991 51496,46
Cosmópolis 3512803 cosmopolense "JOSE PIVATTO" 154,665 72252 380,37 98 0,769 10,83 171948,44395 148441,59284 22807,24
Cosmorama 3512902 cosmoramense "LUIS FERNANDO GONÇALVES" 441,68 7307 16,33 97,9 0,722 33,33 30778,34102 25647,12509 36908,64
Cotia 3513009 cotiano "ROGERIO CARDOSO FRANCO" 323,994 249210 620,81 97,5 0,78 7,42 795242,86637 720866,57794 48678,74
Cravinhos 3513108 cravinhense "JOSÉ CARLOS CARRASCOSA DOS SANTOS" 311,423 35292 101,77 98,1 0,756 12,44 131080,58595 111134,667 29876,08
"Cristais Paulista" 3513207 cristalense "KATIUSCIA DE PAULA LEONARDO MENDES" 385,23 8631 19,7 98,2 0,734 16,53 29472,10652 25481,63482 23225,77
Cruzália 3513306 cruzaliense "JOSÉ ROBERTO CIRINO" 149,33 2073 15,26 97,8 0,774 43,48 16229,07926 14631,8345 60721,4
Cruzeiro 3513405 cruzeirense "THALES GABRIEL FONSECA" 305,699 82238 252,01 97,6 0,788 14,05 165655,53621 147348,17894 26145,67
Cubatão 3513504 cubatense "ADEMARIO DA SILVA OLIVEIRA" 142,879 130705 830,91 98 0,737 13,58 1181573,22046 985154,1083 95822,18
Cunha 3513603 cunhense "ROLIEN GUARDA GARCIA" 1407,25 21547 15,54 98 0,684 4,15 55363,08474 51329,50024 11105,76
Descalvado 3513702 descalvadense "ANTONIO CARLOS RESCHINI" 753,706 33718 41,2 98,6 0,76 8,36 112355,68803 92575,65685 49281,66
Diadema 3513801 diademense "LAURO MICHELS SOBRINHO" 30,732 423884 12536,99 96,8 0,757 12,41 1243622,6929 1212704,15444 32097,86
"Dirce Reis" 3513850 dircense "EUCLIDES SCRIBONI BENINI" 88,133 1793 19,12 100 0,741 111,11 15516,84756 12939,80784 33922,56
Divinolândia 3513900 divinolandense "NAIEF HADDAD NETO" 223,749 11146 50,46 98,6 0,734 8,62 41501,13217 31180,57134 26338,37
Dobrada 3514007 dobradense "JOSÉ CARLOS SIMÃO" 149,729 8929 53,02 99,5 0,718 16,67 22281,17032 18909,98197 13385,27
"Dois Córregos" 3514106 dois-correguense "RUY DIOMEDES FAVARO" 632,972 27315 39,12 96,7 0,725 11,98 79488,72696 69736,72159 24315,12
Dolcinópolis 3514205 dolcinopolense "AMÉRICO RIBEIRO DO NASCIMENTO" 77,939 2115 26,76 100 0,742 - 13251,7967 9814,63877 20999,28
Dourado 3514304 douradense "LUIZ ANTONIO ROGANTE JUNIOR" 205,874 8873 41,82 100 0,738 31,25 32243,42162 27453,7845 66791,85
Dracena 3514403 dracenense "JULIANO BRITO BERTOLINI" 487,688 46793 88,64 98,2 0,776 10,18 119375,78421 109360,69292 25188,56
Duartina 3514502 duartinense "ADERALDO PEREIRA DE SOUZA JUNIOR" 264,557 12445 46,31 98,3 0,748 6,8 42598,5894 34796,01249 20076,39
Dumont 3514601 dumonense "ALAN FRANCISCO FERRACINI" 111,376 9868 73,13 97,6 0,744 9,71 29559,19567 25846,89081 24711,75
Echaporã 3514700 echaporense "LUIS GUSTAVO EVANGELISTA" 515,258 6102 12,26 98,8 0,745 24,69 25858,75298 21629,41985 20504,3
Eldorado 3514809 eldoradense "DURVAL ADELIO DE MORAIS" 1654,256 15494 8,85 97,3 0,691 14,56 45711,82871 39754,67225 23452,26
"Elias Fausto" 3514908 elias-faustense "MAURICIO BARONI BERNARDINETTI" 202,36 17772 77,83 97,3 0,695 14,42 56795,78942 52155,79784 36355,8
Elisiário 3514924 elisiarense "RUBENS FRANCISCO" 93,98 3651 33,2 98,6 0,747 26,32 17787,07463 15070,41166 19196,39
Embaúba 3514957 embaubense "ROGERIO CLEBER PERES" 83,129 2452 29,15 100 0,73 55,56 17245,91596 14037,84829 21949,7
"Embu das Artes" 3515004 embuense "CLAUDINEI ALVES DOS SANTOS" 70,398 273726 3412,89 96,8 0,735 11,41 619272,82744 559806,58715 43860,23
Embu-Guaçu 3515103 embu-guaçuense "MARIA LUCIA DA SILVA MARQUES" 155,641 69385 403,32 97,1 0,749 5,95 146776,5067 127155,69309 15284,76
Emilianópolis 3515129 emilianópolense "JOÃO BATISTA AMARAL" 225,167 3214 13,45 97,3 0,727 25 16099,47556 13958,66666 18994,35
"Engenheiro Coelho" 3515152 "engenheiro coelhense" "PEDRO FRANCO DE OLIVEIRA" 109,941 20773 142,99 98,5 0,732 7,35 54941,01639 50224,9802 30601,28
"Espírito Santo do Pinhal" 3515186 pinhalense "SERGIO DEL BIANCHI JUNIOR" 389,235 44330 107,61 97,9 0,787 4,18 109535,81675 98304,15753 28503,78
"Espírito Santo do Turvo" 3515194 "espírito santense" "AFONSO NASCIMENTO NETO" 193,666 4829 21,92 97,4 0,696 45,45 20621,28969 17942,54007 15178,53
"Estrela d'Oeste" 3515202 estrelense "ANTONIO VALTER DOS SANTOS" 296,281 8419 27,69 99 0,76 18,35 35526,62856 32891,95349 101518,88
"Estrela do Norte" 3515301 estrelense "CICERO CIRINO DA SILVA" 264,987 2766 10,09 98,9 0,74 27,78 16898,17931 14342,14864 23282,62
"Euclides da Cunha Paulista" 3515350 euclidense "CHRISTIAN FUZIKI IKEDA" 573,894 9371 16,66 98,5 0,704 27,27 29092,25561 26471,53319 11500,68
